zip_code,geolatitud,geolongitud,city,state_name
1037,-23.54562128115268,-46.63929204800168,Sao Paulo,São Paulo
1046,-23.54608112703553,-46.64482029837157,Sao Paulo,São Paulo
1041,-23.5443921648681,-46.63949930627844,Sao Paulo,São Paulo
1035,-23.541577961711493,-46.64160722329613,Sao Paulo,São Paulo
1012,-23.547762303364262,-46.63536053788448,Sao Paulo,São Paulo
1047,-23.54627311241268,-46.64122516971552,Sao Paulo,São Paulo
1013,-23.546923208436723,-46.6342636964915,Sao Paulo,São Paulo
1029,-23.543769055769133,-46.63427784085132,Sao Paulo,São Paulo
1011,-23.547639550320632,-46.63603162315495,Sao Paulo,São Paulo
1032,-23.53841810407414,-46.634778375266734,Sao Paulo,São Paulo
1014,-23.546435343326205,-46.63383023397196,Sao Paulo,São Paulo
1039,-23.54188300998332,-46.63991946670314,Sao Paulo,São Paulo
1024,-23.541389521053937,-46.62989908781218,Sao Paulo,São Paulo
1009,-23.54693540437998,-46.63658792659698,Sao Paulo,São Paulo
1020,-23.55223547100232,-46.6284406588955,Sao Paulo,São Paulo
1043,-23.546656718016017,-46.64078762115524,Sao Paulo,São Paulo
1050,-23.549773516504185,-46.64559900666509,Sao Paulo,São Paulo
1045,-23.541593762969622,-46.64189378810082,Sao Paulo,São Paulo
1007,-23.550392524842728,-46.63730164071784,Sao Paulo,São Paulo
1005,-23.549819091869107,-46.63560588995324,Sao Paulo,São Paulo
1017,-23.55001091199737,-46.63116636914989,Sao Paulo,São Paulo
1019,-23.552151883432384,-46.63080224715792,Sao Paulo,São Paulo
1027,-23.538301166801343,-46.63076391104508,Sao Paulo,São Paulo
1033,-23.54032130474925,-46.636394815973325,Sao Paulo,São Paulo
1006,-23.55052430835593,-46.63669363835193,Sao Paulo,São Paulo
1034,-23.54239162719593,-46.63770927785183,Sao Paulo,São Paulo
1042,-23.54487359810152,-46.64030309449483,Sao Paulo,São Paulo
1040,-23.540316757429707,-46.63735536871719,Sao Paulo,São Paulo
1026,-23.539494799586286,-46.63284391414975,Sao Paulo,São Paulo
1036,-23.541700023861782,-46.64131782056096,Sao Paulo,São Paulo
1048,-23.547448918662464,-46.64016924063704,Sao Paulo,São Paulo
1002,-23.54831797807146,-46.63542110199666,Sao Paulo,São Paulo
1031,-23.536864121011018,-46.63349313820771,Sao Paulo,São Paulo
1022,-23.54498660505508,-46.63345367485142,Sao Paulo,São Paulo
1008,-23.54425493154535,-46.634639135589296,Sao Paulo,São Paulo
1010,-23.547806958346342,-46.63612181853806,Sao Paulo,São Paulo
1003,-23.54903244546711,-46.63531311226845,Sao Paulo,São Paulo
1001,-23.54929199999999,-46.633559478233785,Sao Paulo,São Paulo
1015,-23.544826346129778,-46.63086956396899,Sao Paulo,São Paulo
1038,-23.54267967629909,-46.63819683884986,Sao Paulo,São Paulo
1016,-23.54849512877264,-46.633490627676125,Sao Paulo,São Paulo
1049,-23.54530659310986,-46.636994571065735,Sao Paulo,São Paulo
1021,-23.54516769470249,-46.63224867958328,Sao Paulo,São Paulo
1018,-23.550218647763327,-46.63188,Sao Paulo,São Paulo
1044,-23.54575105023373,-46.64132693574358,Sao Paulo,São Paulo
1030,-23.538363904524203,-46.63293009824575,Sao Paulo,São Paulo
1025,-23.539920936547933,-46.6283479287932,Sao Paulo,São Paulo
1004,-23.550115903139226,-46.63512161420169,Sao Paulo,São Paulo
1023,-23.54260295697964,-46.63094283625709,Sao Paulo,São Paulo
1028,-23.536027749379617,-46.632878533585306,Sao Paulo,São Paulo
1155,-23.52878808243405,-46.664404203300826,Sao Paulo,São Paulo
1122,-23.531280767701485,-46.637260391482464,Sao Paulo,São Paulo
1150,-23.532255303364263,-46.662756071469765,Sao Paulo,São Paulo
1123,-23.529307180131543,-46.63490526351788,Sao Paulo,São Paulo
1139,-23.52076037607479,-46.661384138207694,Sao Paulo,São Paulo
1153,-23.52811869885744,-46.65645154579032,Sao Paulo,São Paulo
1104,-23.535218462115523,-46.62461223313523,Sao Paulo,São Paulo
1136,-23.52350959838998,-46.666944167638064,Sao Paulo,São Paulo
1130,-23.52663823480868,-46.64380970358929,Sao Paulo,São Paulo
1103,-23.53538864556528,-46.631747708436734,Sao Paulo,São Paulo
1156,-23.5298272739339,-46.66466605744709,Sao Paulo,São Paulo
1151,-23.527788191788307,-46.66030962184773,Sao Paulo,São Paulo
1140,-23.517930174303164,-46.66742959008009,Sao Paulo,São Paulo
1120,-23.53076048626577,-46.639216010416,Sao Paulo,São Paulo
1106,-23.53249635607949,-46.62640566388715,Sao Paulo,São Paulo
1124,-23.527367392723217,-46.63188348903572,Sao Paulo,São Paulo
1131,-23.52164183207347,-46.64747554830047,Sao Paulo,São Paulo
1121,-23.524588477378973,-46.634392141554585,Sao Paulo,São Paulo
1141,-23.52011919677996,-46.66584000098096,Sao Paulo,São Paulo
1125,-23.529050497085805,-46.63889432139766,Sao Paulo,São Paulo
1102,-23.52261021648681,-46.62942387523806,Sao Paulo,São Paulo
1127,-23.52773504025041,-46.64480016028046,Sao Paulo,São Paulo
1137,-23.51957274271452,-46.654271565497176,Sao Paulo,São Paulo
1135,-23.52122103136361,-46.65296293450282,Sao Paulo,São Paulo
1138,-23.5188254074384,-46.65562359824576,Sao Paulo,São Paulo
1128,-23.52296856571061,-46.64174928255676,Sao Paulo,São Paulo
1109,-23.525355372756565,-46.62754223036526,Sao Paulo,São Paulo
1132,-23.51929180460501,-46.64980089647412,Sao Paulo,São Paulo
1108,-23.52375957536492,-46.6324154521322,Sao Paulo,São Paulo
1107,-23.522004902014046,-46.63397365860703,Sao Paulo,São Paulo
1154,-23.53158118373822,-46.66174681473255,Sao Paulo,São Paulo
1152,-23.52916893282939,-46.65214846073055,Sao Paulo,São Paulo
1134,-23.51867680707737,-46.6531159131789,Sao Paulo,São Paulo
1144,-23.52362350735759,-46.67201579877662,Sao Paulo,São Paulo
1129,-23.5259237463212,-46.642131776011375,Sao Paulo,São Paulo
1105,-23.533744232586976,-46.63063486274458,Sao Paulo,São Paulo
1126,-23.52915073382772,-46.64042336234055,Sao Paulo,São Paulo
1142,-23.51993430515264,-46.6251300217966,Sao Paulo,São Paulo
1133,-23.522591105747573,-46.651049014715184,Sao Paulo,São Paulo
1101,-23.533718588348005,-46.63327836278268,Sao Paulo,São Paulo
1189,-23.53210825506378,-46.63839470107914,Sao Paulo,São Paulo
1202,-23.530243903687488,-46.65091042186511,Sao Paulo,São Paulo
1230,-23.532734734664448,-46.654324449073776,Sao Paulo,São Paulo
1221,-23.54601532944774,-46.64900196003804,Sao Paulo,São Paulo
1217,-23.533844773241405,-46.64940663613022,Sao Paulo,São Paulo
1243,-23.54946977906979,-46.65509829793992,Sao Paulo,São Paulo
1203,-23.537119379681474,-46.64438743865777,Sao Paulo,São Paulo
1214,-23.53569581346678,-46.64141313885349,Sao Paulo,São Paulo
1257,-23.54507217346644,-46.68438057799065,Sao Paulo,São Paulo
1231,-23.5367081559813,-46.6596418411045,Sao Paulo,São Paulo
1216,-23.53597285667968,-46.651407002063245,Sao Paulo,São Paulo
1226,-23.534478565641404,-46.65502761740432,Sao Paulo,São Paulo
1220,-23.542757999999992,-46.64547398167813,Sao Paulo,São Paulo
1223,-23.54377251788917,-46.6482729970858,Sao Paulo,São Paulo
1213,-23.536400280050746,-46.64003758881069,Sao Paulo,São Paulo
1227,-23.537290117980763,-46.65443089812821,Sao Paulo,São Paulo
1240,-23.54378694284137,-46.65861209437926,Sao Paulo,São Paulo
1258,-23.54499310130417,-46.685597180824026,Sao Paulo,São Paulo
1222,-23.547159576461446,-46.64989460560333,Sao Paulo,São Paulo
1211,-23.53582223582903,-46.651605049299015,Sao Paulo,São Paulo
1244,-23.54499336358131,-46.65968022344037,Sao Paulo,São Paulo
1238,-23.54195269441404,-46.65931762155928,Sao Paulo,São Paulo
1204,-23.53680115237462,-46.644416271856414,Sao Paulo,São Paulo
1234,-23.537055499855768,-46.66361722052618,Sao Paulo,São Paulo
1228,-23.54839279655493,-46.659018341392965,Sao Paulo,São Paulo
1224,-23.541718547319537,-46.64883066180968,Sao Paulo,São Paulo
1229,-23.54108734139297,-46.65733920275257,Sao Paulo,São Paulo
1232,-23.53676737440136,-46.65507313113856,Sao Paulo,São Paulo
1218,-23.53154468082404,-46.65066866833055,Sao Paulo,São Paulo
1215,-23.537982300854097,-46.64927618235323,Sao Paulo,São Paulo
1239,-23.548781693029053,-46.65745981155857,Sao Paulo,São Paulo
